Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Acceleration,Cars Prices,Fuel Types,Seats,Torque
Nissan,Skyline NISMO,3.0L Twin-Turbo V6,,420,270 km/h,4.0,55000.0,Petrol,5,475.0
Nissan,Ariya Lounge Edition,Dual Electric Motors,,389,200 km/h,5.0,63000.0,Electric,5,600.0
Nissan,Patrol Titanium,5.6L V8,,428,210 km/h,6.0,98000.0,Petrol,7,560.0
Nissan,Infiniti FX50*,5.0L V8,,390,250 km/h,5.0,61750.0,Petrol,5,500.0
Nissan,Avenir,2.0L Inline-4,,140,180 km/h,9.0,20000.0,Petrol,5,186.0
Nissan,Wingroad,1.8L Inline-4,,125,175 km/h,10.0,18000.0,Petrol,5,168.0
Nissan,Presea,1.8L Inline-4,,115,170 km/h,11.0,17500.0,Petrol,5,161.0
Nissan,Leopard,3.0L V6,,210,200 km/h,8.0,32000.0,Petrol,5,265.0
Nissan,Sunny NISMO Edition,1.6L Turbo Inline-4,,190,200 km/h,7.0,24000.0,Petrol,5,240.0
Nissan,Paladin,2.4L Inline-4,,150,180 km/h,10.0,20000.0,Petrol,5,217.0
Nissan,Hardbody SUV,2.5L Inline-4,,158,175 km/h,11.0,18500.0,Petrol,5,225.0
Nissan,Patrol Desert Edition,5.6L V8,,428,210 km/h,6.0,95000.0,Petrol,7,560.0
Nissan,Pathfinder Armada,5.6L V8,,400,200 km/h,6.0,60000.0,Petrol,7,560.0
Nissan,Rogue Midnight Edition,1.5L Turbo Inline-3,,201,180 km/h,8.0,39000.0,Petrol,5,300.0
Nissan,GT-R Black Edition,3.8L Twin-Turbo V6,,600,330 km/h,2.0,185000.0,Petrol,2,652.0
Nissan,Fairlady Z Heritage,3.0L Twin-Turbo V6,,400,250 km/h,4.0,48000.0,Petrol,2,475.0
Nissan,Skyline GT-R R34,2.6L Twin-Turbo Inline-6,,276,250 km/h,5.0,70000.0,Petrol,4,392.0
Nissan,Ariya Premiere,Dual Electric Motors,,389,200 km/h,5.0,67000.0,Electric,5,600.0
Nissan,Infiniti QX55*,2.0L VC-Turbo Inline-4,,268,230 km/h,6.0,50000.0,Petrol,5,380.0
Nissan,NV350 Caravan,2.5L Inline-4 Diesel,,129,155 km/h,12.0,28000.0,Diesel,8,356.0
Nissan,Navara,2.3L Inline-4 Diesel,,190,180 km/h,10.0,32000.0,Diesel,5,450.0
Nissan,Titan XD,5.6L V8,,400,195 km/h,6.0,55000.0,Petrol,6,560.0
Nissan,Evalia,1.5L Inline-4 Diesel,,85,140 km/h,15.0,25000.0,Diesel,7,200.0
Nissan,Cabstar,2.5L Inline-4 Diesel,,130,145 km/h,14.0,27000.0,Diesel,3,350.0
Nissan,Cherry,1.4L Inline-4,,67,145 km/h,14.0,14000.0,Petrol,5,110.0
Nissan,Laurel,2.8L Inline-6 Diesel,,94,160 km/h,12.0,22000.0,Diesel,5,184.0
Nissan,Silvia,2.0L Turbo Inline-4,,247,235 km/h,5.0,45000.0,Petrol,4,275.0
Nissan,NX Coupe,2.0L Inline-4,,140,200 km/h,9.0,22000.0,Petrol,4,180.0
Nissan,AD Wagon,1.5L Inline-4,,105,165 km/h,12.0,16000.0,Petrol,5,150.0
Nissan,Patrol Super Safari Y61,4.8L Inline-6,,280,190 km/h,8.0,58000.0,Petrol,7,451.0
Nissan,Pathfinder Rock Creek Edition,3.5L V6,,284,195 km/h,7.0,44000.0,Petrol,7,351.0
Nissan,Terrano II,2.7L Inline-4 Diesel,,125,160 km/h,12.0,28000.0,Diesel,5,278.0
